회사명,코드,년도,[제조]순운전자본비율(IFRS연결),법인세비용차감전순이익,이자비용1,이자비용2,이자비용3,이자비용4,당기순이익,법인세비용,금융수익,금융원가,지분법
(주)게임빌,63080,Dec-17,-5.91,7245089,1624764,0,0,0,8584611,-1339522,305835,1624764,0
(주)게임빌,63080,Dec-18,-8.22,9990567,1938696,0,0,0,-5428315,15418881,194155,1938696,0
(주)게임빌,63080,Dec-19,-9.99,12318550,2834144,0,0,0,11814935,503614,124307,3629442,0
(주)게임빌,63080,Dec-20,-18.42,19306088,4208241,0,0,0,20139064,-832976,92868,4219015,0
(주)골드앤에스,35290,Dec-10,0.57,-9066905,1136681,,0,0,-8960678,-106227,546069,1327736,-78989
(주)골드앤에스,35290,Dec-11,3.73,836340,1144194,,0,0,1002287,-165947,654448,1144194,30746
(주)골드앤에스,35290,Dec-12,11.48,-6815170,1222442,,0,0,-6467495,-347676,486533,1222442,-25576
(주)골드앤에스,35290,Dec-13,-27.23,-15321298,1696741,0,0,0,-16837473,1516175,104522,1696741,-215412
(주)골드앤에스,35290,Dec-14,-21.44,-8873644,2188673,0,0,0,-9319175,-182461,24007,2188673,0
(주)골드앤에스,35290,Dec-15,30.79,-4437490,574821,0,0,0,-9502547,-45840,41328,574821,0
(주)골드앤에스,35290,Dec-16,26.73,624873,166195,0,0,0,390367,234505,25401,166195,0
(주)골드앤에스,35290,Dec-17,44.44,-8156806,141278,0,0,0,-7975875,39069,70561,141278,0
(주)골드앤에스,35290,Dec-18,-16.42,-5049311,1022918,0,0,0,-4380399,-668912,100567,1201259,0
(주)골드앤에스,35290,Dec-19,-106.52,-24639136,4887799,0,0,0,-24883278,-15829,783965,5000229,0
(주)골드앤에스,35290,Dec-20,33.2,1396873,2401604,0,0,0,1635730,-238857,24417,2401604,0
(주)골드카운티,58900,2020,,,,,,,,,,,
(주)골프존,215000,Dec-16,17.74,44008772,759926,0,0,0,36536248,7472524,1288071,759926,0
(주)골프존,215000,Dec-17,42.84,50745356,713146,0,0,0,79392004,-28749344,1887857,713146,-1532
(주)골프존,215000,Dec-18,35.79,26353781,748762,0,0,0,20419449,5934332,2189085,818962,-56871
(주)골프존,215000,Dec-19,6.61,29850286,1003551,0,0,0,16213888,13636399,2083818,1003551,-82572
(주)골프존,215000,Dec-20,10.12,48705922,1513019,0,0,0,37497361,11208561,1796021,1513019,65256
(주)골프존,215000,Dec-15,,45670572,711609,0,0,0,36533155,9137417,1090969,721609,0
(주)네오리진,94860,Dec-11,13.96,601278,893017,,0,0,649924,-48645,584578,1329075,0
(주)네오리진,94860,Dec-10,38.49,-4539142,178765,,0,0,-4659690,120549,506832,312755,0
(주)네오리진,94860,Dec-13,,,,,,,,,,,
(주)네오리진,94860,Dec-14,,,,,,,,,,,
(주)네오리진,94860,Dec-15,,,,,,,,,,,
(주)네오리진,94860,Dec-16,,,,,,,,,,,
(주)네오리진,94860,Dec-17,31.95,190144,68001,0,0,0,166207,23937,80896,69246,0
(주)네오리진,94860,Dec-18,,,,,,,,,,,
(주)네오리진,94860,Dec-19,,,,,,,,,,,
(주)네오리진,94860,Dec-20,,,,,,,,,,,
(주)네오리진,94860,Dec-12,,,,,,,,,,,
(주)네오위즈,95660,Dec-11,6.42,100761621,6316638,,19192,0,72509057,28252563,5496801,9625829,0
(주)네오위즈,95660,Dec-12,18.77,47902448,8690994,,0,0,5785127,42117321,18966621,24992854,0
(주)네오위즈,95660,Dec-13,11.14,75624100,9302285,0,0,0,46864398,27721648,21141534,21938776,-11862432
(주)네오위즈,95660,Dec-14,34.64,5839422,5904848,0,0,0,-8177160,13358286,9457075,8425401,-8487635
(주)네오위즈,95660,Dec-15,43.87,-14255941,3804455,0,0,0,-21852100,7743204,8105525,5010408,0
(주)네오위즈,95660,Dec-16,48.97,18759351,755788,0,0,0,9853329,8739619,4441788,3499351,0
(주)네오위즈,95660,Dec-17,51.27,646834,132940,0,0,0,-2143713,2790546,2388333,3241051,0
(주)네오위즈,95660,Dec-18,28.38,36631787,38179,0,0,0,33524295,3107492,12006137,9184981,0
(주)네오위즈,95660,Dec-19,36.79,32412636,109724,0,0,0,27623322,4789314,5812818,8806624,0
(주)네오위즈,95660,Dec-20,39.74,68680628,85124,0,0,0,62167755,6512873,16261129,8236041,0
(주)네오위즈,95660,Dec-10,-11.28,27491964,10136,,60196,0,25208848,2283116,3780682,1118203,0
(주)네오위즈홀딩스,42420,Dec-11,15.41,112060294,3760743,,141879,0,76477186,35583108,8055077,10028072,0
(주)네오위즈홀딩스,42420,Dec-12,21.3,54326605,5199412,,0,0,13920271,40314640,26877070,21918352,0
(주)네오위즈홀딩스,42420,Dec-13,19.63,85429207,5795508,0,0,0,59898207,24492946,27003888,22241289,0
(주)네오위즈홀딩스,42420,Dec-14,36.77,91617749,2255102,0,0,0,57500868,32224875,63476749,8084225,0
(주)네오위즈홀딩스,42420,Dec-10,4.28,38336486,2192972,,69204,0,40782244,-2445758,4465504,3302710,0
(주)네오위즈홀딩스,42420,Dec-16,55.11,-4950180,49422,0,0,0,-8386452,3269868,7483009,28472084,0
(주)네오위즈홀딩스,42420,Dec-17,57.31,-4565860,181448,0,0,0,-6798711,2232852,12250571,14546290,0
(주)네오위즈홀딩스,42420,Dec-18,41,45177504,85035,0,0,0,43566139,1611366,23416364,24358665,0
(주)네오위즈홀딩스,42420,Dec-19,42.8,45080853,109724,0,0,0,40857864,6748843,28887726,15927325,0
(주)네오위즈홀딩스,42420,Dec-20,41.92,109027026,86001,0,0,0,94962424,14064602,64682306,20153696,0
(주)네오위즈홀딩스,42420,Dec-15,58.44,74971673,73443,0,0,0,49969692,26843141,9288825,2983380,0
(주)네이블커뮤니케이션즈,153460,Dec-11,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-10,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-13,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-14,46.9,359656,1044,0,0,0,487174,-127518,335606,1044,0
(주)네이블커뮤니케이션즈,153460,Dec-15,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-16,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-17,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-18,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-19,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-20,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-12,,,,,,,,,,,
(주)네프로아이티,950030,Mar-11,,,,,,,,,,,
(주)네프로아이티,950030,Mar-10,,,,,,,,,,,
(주)넥스지,81970,Dec-11,,,,,,,,,,,
(주)넥스지,81970,Dec-10,,,,,,,,,,,
(주)넥스지,81970,Dec-12,,,,,,,,,,,
(주)넥스지,81970,Dec-14,,,,,,,,,,,
(주)넥스지,81970,Dec-15,,,,,,,,,,,
(주)넥스지,81970,Dec-13,57.42,1469100,0,0,0,0,1450221,18879,367568,0,0
(주)넥스지,81970,Dec-17,54.43,2160575,3527,0,0,0,2117488,43087,208118,3527,0
(주)넥스지,81970,Dec-16,,,,,,,,,,,
(주)넵튠,217270,Dec-15,,,,,,,,,,,
(주)넵튠,217270,Dec-17,5.08,42788451,168058,0,0,0,32090781,10697670,51975284,168058,-110147
(주)넵튠,217270,Dec-18,-23.46,-38947228,377241,0,0,0,-36924774,-2022454,1954009,6771153,-966025
(주)넵튠,217270,Dec-19,-21.46,-21396348,420493,0,0,0,-20788823,-607525,1207342,8194583,-8748609
(주)넵튠,217270,Dec-20,6.99,55021134,292404,0,0,0,43838745,11182388,67597700,727088,-2192536
(주)넵튠,217270,Dec-16,14.33,-4132173,53100,0,0,0,-3993819,-138355,31641,53100,0
(주)넷게임즈,225570,Dec-16,,,,,,,,,,,
(주)넷게임즈,225570,Dec-17,,,,,,,,,,,
(주)넷게임즈,225570,Dec-18,,,,,,,,,,,
(주)넷게임즈,225570,Dec-19,,,,,,,,,,,
(주)넷게임즈,225570,Dec-20,,,,,,,,,,,
(주)넷게임즈,225570,Dec-15,,,,,,,,,,,
(주)누리플렉스,40160,Dec-11,29.49,-118038,1552596,,0,0,-821326,703288,1399634,2749273,0
(주)누리플렉스,40160,Dec-12,20.95,-10849236,867919,,0,0,-11299861,450625,816105,885782,0
(주)누리플렉스,40160,Dec-13,11,-941541,820053,0,0,0,6882952,481805,404500,820053,0
(주)누리플렉스,40160,Dec-14,7.68,1658367,962148,0,0,0,1470047,188320,821591,962148,0
(주)누리플렉스,40160,Dec-15,20.58,4592693,517964,0,0,0,4417066,175627,195224,517964,0
(주)누리플렉스,40160,Dec-16,21.39,5988389,299956,0,0,0,6493314,-504925,79750,299956,0
(주)누리플렉스,40160,Dec-17,9.39,-4794334,1090969,0,0,0,-5840428,941711,122232,1203529,0
(주)누리플렉스,40160,Dec-18,18.59,17361664,1449460,0,0,0,11747611,5614052,2161597,1449460,0
(주)누리플렉스,40160,Dec-19,16.79,10372736,1363174,0,0,0,8862080,1510657,828576,1374880,0
(주)누리플렉스,40160,Dec-20,15.51,1670964,740534,0,0,0,2867014,-1196050,379344,856703,0
(주)누리플렉스,40160,Dec-10,42.5,-382170,1329061,,0,0,-1026354,644183,1723119,1337954,0
(주)다나와,119860,Dec-11,76.96,4882929,6900,,0,0,4363445,519483,1256026,11322,0
(주)다나와,119860,Dec-12,77.39,6580907,11658,,0,0,5316174,1264733,1421344,14509,0
(주)다나와,119860,Dec-13,78.74,6360046,19234,0,0,0,5568093,791953,1267612,21435,0
(주)다나와,119860,Dec-14,74.33,5880293,20147,0,0,0,4942345,937948,1219454,20786,0
(주)다나와,119860,Dec-15,69.26,6571400,13913,0,0,0,6053364,518037,915702,14786,0
(주)다나와,119860,Dec-16,62.37,10201378,5940,0,0,0,8935066,1266312,693954,6641,0
(주)다나와,119860,Dec-17,56.22,15532798,80817,0,0,0,13513869,2018929,1079140,118415,0
(주)다나와,119860,Dec-18,51.5,20915762,72223,0,0,0,16395902,4519860,1090512,143761,0
(주)다나와,119860,Dec-19,50.57,29344040,177029,0,0,0,23583163,5760876,1463665,367764,0
(주)다나와,119860,Dec-20,64.9,39481484,96720,0,0,0,30936956,7679507,2471201,212473,0
(주)다나와,119860,Dec-10,59.57,7985444,17556,,0,0,6715036,1270408,443042,18997,0
(주)다날,64260,Dec-11,10.48,-6343988,5510146,,0,0,-6407215,63228,1392251,6477730,-633285
(주)다날,64260,Dec-12,5.84,-12037974,6627404,,0,0,-11550466,-487509,1755198,6627404,-1434391
(주)다날,64260,Dec-13,14.67,1744290,5781067,0,0,0,200553,1543737,1192676,5820317,-3290317
(주)다날,64260,Dec-14,16.39,3095814,3875374,0,0,0,339414,2756400,1556390,3875374,-2644789
(주)다날,64260,Dec-15,36.26,-2195779,2943313,0,0,0,-2560814,365035,1590159,2943313,206427
(주)다날,64260,Dec-16,27.25,-730009,3010403,0,0,0,-3910673,3180664,1332420,3010403,-3282616
(주)다날,64260,Dec-17,28.22,22773899,2820975,0,0,0,10686294,12087605,1700467,2820975,-923947
(주)다날,64260,Dec-18,44.24,-7459653,4768213,0,0,0,-2918329,-4541324,1558886,4768213,150089
(주)다날,64260,Dec-19,54.29,19215850,5901369,0,0,0,22794705,292164,1294357,5901369,860188
(주)다날,64260,Dec-20,37.36,22114868,7031393,0,0,0,12407859,9707009,1079450,7031393,-2505128
(주)다날,64260,Dec-10,5.36,-1178177,4921091,,0,0,-1592997,414820,1512933,4921091,-16721
(주)다우기술,23590,Dec-11,4.42,176609266,5482530,0,0,0,121305698,55303568,1910006,5482530,1910041
(주)다우기술,23590,Dec-12,46.24,135574142,5008466,0,0,0,95931116,39643026,3179276,5008466,5206816
(주)다우기술,23590,Dec-10,5.25,171485909,3889426,,0,0,124848802,46637107,2352870,3889426,327778
(주)다우기술,23590,Dec-14,53.59,112748497,5297465,0,0,0,84949965,27798532,1318660,5297465,1158359
(주)다우기술,23590,Dec-15,54.54,283114913,5227526,0,0,0,202618955,80495958,992563,5227526,11564242
(주)다우기술,23590,Dec-16,45.56,260833208,5590400,0,0,0,191978017,69054644,1164521,5590400,9224334
(주)다우기술,23590,Dec-17,43.5,345149445,5264387,0,0,0,243142590,102006855,1294892,5264388,8316086
(주)다우기술,23590,Dec-18,20.55,324374480,6662837,0,0,0,225403523,102080584,2576514,11018391,4258404
(주)다우기술,23590,Dec-19,22.92,533415674,5679482,0,0,0,395865387,137869767,3211400,7462904,29368992
(주)다우기술,23590,Dec-20,37.74,1030435361,7096049,0,0,0,679446474,350988887,1812818,7871027,28603548
(주)다우기술,23590,Dec-13,53.58,83618513,5512044,0,0,0,54080871,29537642,1476670,5512044,3562403
(주)대양글로벌,40180,Dec-10,,,,,,,,,,,
(주)더블유게임즈,192080,Dec-14,,,,,,,,,,,
(주)더블유게임즈,192080,Dec-15,,,,,,,,,,,
(주)더블유게임즈,192080,Dec-15,,,,,,,,,,,
(주)더블유게임즈,192080,Dec-16,60.73,53399648,107687,0,0,0,48718418,4681230,5325199,217102,-40675
(주)더블유게임즈,192080,Dec-16,60.73,53399648,107687,0,0,0,48718418,4681230,5325199,217102,-40675
(주)더블유게임즈,192080,Dec-17,-20.29,38328555,20408052,0,0,0,35641749,2686805,3580366,27358451,-14593
(주)더블유게임즈,192080,Dec-17,-20.29,38328555,20408052,0,0,0,35641749,2686805,3580366,27358451,-14593
(주)더블유게임즈,192080,Dec-18,-6.21,117349900,30579447,0,0,0,87761134,29588766,1686271,30882448,-4178
(주)더블유게임즈,192080,Dec-19,8.3,138041810,27557121,0,0,0,110292805,27749005,2058655,28417862,111
(주)더블유게임즈,192080,Dec-20,15.86,169069173,10421756,0,0,0,124794300,44274873,1613151,31168073,-327
(주)더블유게임즈,192080,Dec-14,,,,,,,,,,,
(주)더존비즈온,12510,Dec-11,0.86,11595691,3000814,,0,0,4939304,6656387,432402,3000814,0
(주)더존비즈온,12510,Dec-12,15.57,18884335,3793664,,0,0,17029007,1855329,300070,3793664,0
(주)더존비즈온,12510,Dec-13,-1.8,12244377,3636515,0,0,0,13703450,-1459073,780291,3636515,0
(주)더존비즈온,12510,Dec-14,7.36,12048021,2722643,0,0,0,10940570,1107451,530939,3230120,0
(주)더존비즈온,12510,Dec-15,2.51,24242343,1747558,0,0,0,21680881,2561462,839395,1770703,0
(주)더존비즈온,12510,Dec-16,24.59,35586787,1080491,0,0,0,28238403,7348384,1056002,1435879,0
(주)더존비즈온,12510,Dec-17,14.68,49340530,832275,0,0,0,40580416,8760115,545803,1778087,0
(주)더존비즈온,12510,Dec-18,21.59,56069578,723103,0,0,0,42514595,13554983,1692881,1307338,0
(주)더존비즈온,12510,Dec-19,0.95,66412119,2756436,0,0,0,51025561,15386557,2846697,3385222,0
(주)더존비즈온,12510,Dec-20,2.43,72966269,7281227,0,0,0,57901331,15064938,320672,7504613,0
(주)더존비즈온,12510,Dec-10,18.37,32476451,2588869,,0,0,24075083,8401368,416304,2588869,0
(주)드래곤플라이,30350,Dec-11,-6.31,3068571,0,,0,0,6651725,-3583155,446859,58749,0
(주)드래곤플라이,30350,Dec-12,-14.07,-7147783,0,,0,0,-7544230,396447,389971,27,0
(주)드래곤플라이,30350,Dec-13,-38.55,-26871055,1282363,0,0,0,-33369164,6498109,87131,1282363,0
(주)드래곤플라이,30350,Dec-14,-39.58,-2813449,1695339,0,0,0,-9275096,6461648,180227,1695339,0
(주)드래곤플라이,30350,Dec-15,-43.52,-7130985,1398275,0,0,0,-7804337,673352,1556056,1398275,0
(주)드래곤플라이,30350,Dec-16,-40.09,-31812,1177584,0,0,0,-300982,269170,65746,957509,0
(주)드래곤플라이,30350,Dec-17,,,,,,,,,,,
(주)드래곤플라이,30350,Dec-18,,,,,,,,,,,
(주)드래곤플라이,30350,Dec-19,41.18,-5674192,61226,0,0,0,-5749731,75538,183471,61226,-14344
(주)드래곤플라이,30350,Dec-20,-14.16,-8124482,49379,0,0,0,-8195093,70611,75546,3727192,-13177
(주)드래곤플라이,30350,Dec-10,-0.26,9406760,0,,0,0,9205816,200944,587143,750401,0
(주)드림시큐리티,203650,Dec-15,,,,,,,,,,,
(주)드림시큐리티,203650,Dec-16,,,,,,,,,,,
(주)드림시큐리티,203650,Dec-17,46.42,-1528960,158010,0,0,0,-1595965,67005,135993,177906,0
(주)드림시큐리티,203650,Dec-18,49.03,3372295,25671,0,0,0,3139200,233095,163204,25923,0
(주)드림시큐리티,203650,Dec-19,3.97,2080578,62181,0,0,0,2526906,-446328,235992,74767,353819
(주)드림시큐리티,203650,Dec-20,-12.72,7322174,5254037,0,0,0,6177769,1144405,1156809,7853351,0
(주)드림시큐리티,203650,Dec-14,,,,,,,,,,,
(주)드림어스컴퍼니,60570,Dec-11,31.99,-34374394,1036590,,0,0,-40528032,6153638,3552577,3980247,0
(주)드림어스컴퍼니,60570,Dec-12,40.3,-9834121,531179,,0,0,-9835282,1161,1772913,1711552,0
(주)드림어스컴퍼니,60570,Dec-13,51.98,-8425581,179598,0,0,0,-8427833,2253,794963,859439,0
(주)드림어스컴퍼니,60570,Dec-14,78.64,2344852,133657,0,0,0,2344852,0,1197603,1006723,0
(주)드림어스컴퍼니,60570,Dec-15,72.63,635015,363189,0,0,0,635015,0,1990442,1041420,0
(주)드림어스컴퍼니,60570,Dec-16,68.33,-9986957,387907,0,0,0,-9986957,0,1625135,1282753,-266793
(주)드림어스컴퍼니,60570,Dec-17,49.9,-14073785,406725,0,0,0,-14092021,18236,853344,2337007,0
(주)드림어스컴퍼니,60570,Dec-18,52.85,-20587045,421425,0,0,0,-21314254,727209,1881041,897835,0
(주)드림어스컴퍼니,60570,Dec-19,50.41,-47935284,533101,0,0,0,-48005522,70238,2405455,1138181,0
(주)드림어스컴퍼니,60570,Dec-20,42.63,-25048196,172076,0,0,0,-23067873,-1980323,1036387,3900339,0
(주)드림어스컴퍼니,60570,Dec-10,43.66,-21121355,996904,,0,0,-27592717,6471362,4043854,2735246,0
(주)디비아이엔씨,12030,Dec-11,-14.21,6083180,21332019,,0,0,4798467,1284713,3771638,25088631,12425087
(주)디비아이엔씨,12030,Dec-10,-26.94,-1972423,19316944,,0,0,4221758,412709,10336723,20477144,10824956
(주)디비아이엔씨,12030,Dec-13,-30.08,-79262968,18120378,0,0,0,-63801967,-15461001,2653387,40479471,-40855461
(주)디비아이엔씨,12030,Dec-14,-29.93,-165050028,16649211,0,0,0,-124525731,-34148069,4089191,63800475,-3357544
(주)디비아이엔씨,12030,Dec-15,42.37,-34201441,4714385,0,0,0,13186937,-10305237,4785037,23586261,1543919
(주)디비아이엔씨,12030,Dec-16,5.82,-14286120,2311020,0,0,0,-20712779,6366681,3817219,29494658,0
(주)디비아이엔씨,12030,Dec-17,8.26,-12810742,2240908,0,0,0,-776258,-12034404,2129616,19281451,0
(주)디비아이엔씨,12030,Dec-18,8.03,-4718773,5196529,0,0,0,-3975420,-743353,2444547,6785855,0
(주)디비아이엔씨,12030,Dec-19,6.8,9716890,6885701,0,0,0,4404486,5256977,2759869,9244331,0
(주)디비아이엔씨,12030,Dec-20,-6.21,11661640,5735434,0,0,0,6271086,5392319,4754400,5993140,0
(주)디비아이엔씨,12030,Dec-12,-23.12,5775206,19394659,,0,0,2952394,2822812,2442613,22342196,3410265
(주)디앤씨미디어,263720,Dec-17,,,,,,,,,,,
(주)디앤씨미디어,263720,Dec-16,,,,,,,,,,,
(주)디앤씨미디어,263720,Dec-19,70.48,8187886,3700,0,0,0,4852476,1548863,501243,33007,-221021
(주)디앤씨미디어,263720,Dec-18,75.34,6160781,1790,0,0,0,4917413,1243368,400687,10485,-32389
(주)디앤씨미디어,263720,Dec-20,75.21,13729019,9929,0,0,0,10867447,2786701,599752,80926,46426
(주)디어유,376300,Dec-20,,,,,,,,,,,
(주)디지캡,197140,Dec-13,,,,,,,,,,,
(주)디지캡,197140,Dec-14,,,,,,,,,,,
(주)디지캡,197140,Dec-15,,,,,,,,,,,
(주)디지캡,197140,Dec-16,,,,,,,,,,,
(주)디지캡,197140,Dec-17,,,,,,,,,,,
(주)디지캡,197140,Dec-18,,,,,,,,,,,
(주)디지캡,197140,Dec-19,28.81,797731,395423,0,0,0,1177494,-379763,262209,395423,0
(주)디지캡,197140,Dec-20,7.59,1259857,646320,0,0,0,1325173,-65316,74739,648041,0
(주)디지캡,197140,Dec-12,,,,,,,,,,,
(주)디지틀조선일보,33130,Dec-11,31,4266689,0,,0,0,4169607,97082,330216,0,-49357
(주)디지틀조선일보,33130,Dec-12,36.75,7531273,0,,0,0,6408924,1122349,1401961,0,-86
(주)디지틀조선일보,33130,Dec-13,34.92,4814298,0,0,0,0,4222671,591627,1176880,0,-198511
(주)디지틀조선일보,33130,Dec-14,39.01,3716239,0,0,0,0,3586897,334834,668162,0,-422338
(주)디지틀조선일보,33130,Dec-15,47.85,4046512,0,0,0,0,5003365,569409,678517,0,-162647
(주)디지틀조선일보,33130,Dec-16,51.82,5369861,0,0,0,0,4656305,713556,604134,0,105476
(주)디지틀조선일보,33130,Dec-17,55.47,6254421,0,0,0,0,5300249,954172,636074,0,53215
(주)디지틀조선일보,33130,Dec-18,51.9,7280585,0,0,0,0,5140110,2140475,842207,0,74999
(주)디지틀조선일보,33130,Dec-19,48.83,4377482,94619,0,0,0,3463027,914455,1078448,94619,247579
(주)디지틀조선일보,33130,Dec-10,31.93,3035594,897,,0,0,2944298,91296,237386,897,-31838
(주)디지틀조선일보,33130,Dec-20,53.87,2710720,59876,0,0,0,1833292,877428,1023647,59876,100411
(주)디패션,30420,Dec-10,,,,,,,,,,,
(주)딥노이드,315640,Dec-17,,,,,,,,,,,
(주)딥노이드,315640,Dec-19,,,,,,,,,,,
(주)딥노이드,315640,Dec-18,,,,,,,,,,,
(주)딥노이드,315640,Dec-20,,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-18,,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-20,,,,,,,,,,,
(주)라이프시맨틱스,347700,Dec-19,,,,,,,,,,,
(주)로지시스,67730,Dec-10,,,,,,,,,,,
(주)로지시스,67730,Dec-12,,,,,,,,,,,
(주)로지시스,67730,Dec-13,,,,,,,,,,,
(주)로지시스,67730,Dec-11,,,,,,,,,,,
(주)로지시스,67730,Dec-15,,,,,,,,,,,
(주)로지시스,67730,Dec-16,,,,,,,,,,,
(주)로지시스,67730,Dec-17,,,,,,,,,,,
(주)로지시스,67730,Dec-18,,,,,,,,,,,
(주)로지시스,67730,Dec-19,,,,,,,,,,,
(주)로지시스,67730,Dec-20,,,,,,,,,,,
(주)로지시스,67730,Dec-14,,,,,,,,,,,
(주)룽투코리아,60240,Dec-11,-22.59,-7933554,408815,,0,0,-8040075,106521,82311,408815,0
(주)룽투코리아,60240,Dec-12,4.68,872408,268878,,0,0,847430,24978,49088,268878,0
(주)룽투코리아,60240,Dec-13,17.76,-1413528,197361,0,0,0,-1413528,0,139508,197361,0
(주)룽투코리아,60240,Dec-14,26.43,-3007655,219363,0,0,0,-3007655,0,67307,219363,0
(주)룽투코리아,60240,Dec-15,-8.01,808326,273113,0,0,0,808326,0,363751,273113,0
(주)룽투코리아,60240,Dec-16,7.39,2606320,3162851,0,0,0,1899496,706824,322417,3162851,-1347599
(주)룽투코리아,60240,Dec-17,34.04,-33139159,1059870,0,0,0,-36640517,635288,205277,1059870,-7036089
(주)룽투코리아,60240,Dec-18,54.2,10567514,807251,0,0,0,21507233,1709321,849320,808176,5299610
(주)룽투코리아,60240,Dec-19,53.42,2154615,268125,0,0,0,1636986,517628,736363,1391421,-3787523
(주)룽투코리아,60240,Dec-20,59.09,3118279,16271,0,0,0,2862505,255773,351312,16271,-2154522
(주)룽투코리아,60240,Dec-10,0.63,-7195351,368314,,0,0,-9904225,2708873,135550,368314,0
(주)리파인,377450,Dec-17,,,,,,,,,,,
(주)리파인,377450,Dec-16,,,,,,,,,,,
(주)리파인,377450,Dec-19,,,,,,,,,,,
(주)리파인,377450,Dec-20,54.14,20371613,16185,0,0,0,16067183,4534287,339983,139564,0
(주)리파인,377450,Dec-18,,,,,,,,,,,
(주)링네트,42500,Dec-11,31.61,2997378,407590,,0,0,2155388,841990,1856014,2359533,0
(주)링네트,42500,Dec-12,41.94,5376444,280406,,0,0,4134959,1241485,2827284,612975,0
(주)링네트,42500,Dec-10,32.28,4875829,507330,,0,0,3735506,1140324,2484640,771366,0
(주)링네트,42500,Dec-14,50.25,6514972,79167,0,0,0,5100607,1414365,2429874,990651,42575
(주)링네트,42500,Dec-15,51.4,5181806,53156,0,0,0,3946454,1235352,1932189,732102,7713
(주)링네트,42500,Dec-16,47.45,4384120,28131,0,0,0,3274605,1109515,1457962,672062,0
(주)링네트,42500,Dec-17,50.89,5802320,25351,0,0,0,4706149,1096171,1397315,2179605,0
(주)링네트,42500,Dec-18,45.22,4785870,125688,0,0,0,3490102,1295768,2361239,1488099,0
(주)링네트,42500,Dec-19,45.73,9393821,276474,0,0,0,7022815,2371006,3415497,1145602,0
(주)링네트,42500,Dec-20,46.31,10341070,183334,0,0,0,7576531,2764539,3731523,1885908,0
(주)링네트,42500,Dec-13,45,7220689,202965,0,0,0,5638569,1582120,2199871,1094512,0
(주)링크제니시스,219420,Dec-15,58.09,988105,90748,0,0,0,937729,50375,25796,130459,-16153
(주)링크제니시스,219420,Dec-16,62.67,1972305,105045,0,0,0,1758422,213882,242370,116860,-41553
(주)링크제니시스,219420,Dec-17,71.14,3159205,62303,0,0,0,2713735,445469,230126,425875,0
(주)링크제니시스,219420,Dec-18,74.99,1884267,13791,0,0,0,2196294,-312027,435770,13791,-190804
(주)링크제니시스,219420,Dec-19,82.03,1083949,13936,0,0,0,571790,512158,457919,13936,-48932
